,depth,rain,temp,level
109,30.45,418.83,20.2,17.64
110,30.84,492.4,20.32,16.8
111,31.72,478.67,19.86,18.63
112,30.69,414.77,23.92,15.79
113,30.77,484.97,16.67,16.67
114,31.73,458.04,18.08,19.53
115,30.95,475.49,17.91,17.96
116,31.13,452.08,22.04,19.2
117,31.97,422.69,16.2,17.94
118,31.15,419.3,22.12,15.17
119,31.87,403.55,24.46,17.63
120,31.31,420.68,17.26,18.52
121,30.2,441.13,18.26,18.35
122,30.32,405.02,21.13,17.45
123,31.59,487.14,24.18,16.78
124,30.4,488.06,24.02,19.86
125,31.93,413.09,18.13,18.13
126,31.85,486.63,17.65,16.67
127,31.22,442.25,24.63,17.23
128,30.12,458.18,16.96,17.29
129,31.61,410.55,23.65,18.07
130,30.0,453.74,22.23,17.13
131,30.25,456.29,19.75,15.14
132,31.94,466.34,21.95,16.48
133,30.05,425.45,21.49,19.9
134,30.44,487.72,17.51,16.5
135,30.85,431.7,24.77,17.07
136,31.8,415.82,19.39,16.12
137,31.75,470.58,18.82,17.3
138,30.09,492.21,17.13,15.03
139,30.78,414.47,19.02,15.26
140,31.55,428.62,18.54,15.18
141,30.94,450.32,20.38,15.36
142,30.49,494.84,16.87,18.06
143,31.39,445.35,21.15,15.1
144,30.8,446.65,19.84,18.76
145,30.82,489.05,19.5,17.75
146,30.62,418.41,24.47,18.04
147,31.72,414.84,21.68,18.65
148,31.24,417.14,20.81,19.43
149,31.81,424.2,21.65,19.46
150,30.57,478.94,16.55,16.75
151,30.08,452.57,23.0,16.71
152,31.29,405.81,24.04,16.9
153,30.17,471.3,22.44,19.58
154,30.75,453.13,19.53,19.78
155,30.75,476.85,17.44,18.85
156,30.06,415.2,17.89,18.02
157,31.95,487.09,17.02,19.58
158,30.74,407.81,24.96,16.75
159,31.19,403.86,24.94,19.18
160,31.65,400.58,21.09,17.45
161,30.48,418.11,24.09,17.14
162,31.0,404.52,22.73,16.9
163,31.56,415.21,23.93,17.56
164,31.11,414.78,21.58,17.43
165,30.67,462.64,18.46,18.8
166,30.86,418.7,19.46,19.48
167,30.19,411.91,17.77,18.15
168,30.28,464.02,18.03,19.5
169,31.77,432.47,17.34,17.16
170,31.95,468.09,20.27,19.28
171,31.47,403.94,23.34,19.79
172,30.16,482.56,17.29,19.31
173,31.68,493.78,19.56,17.29
174,31.04,479.21,18.33,17.0
175,30.49,453.48,24.63,19.5
176,30.07,450.57,17.17,19.34
177,30.14,493.34,24.29,17.4
178,31.0,471.19,23.38,17.36
179,31.16,431.15,23.37,16.54
180,30.33,452.34,22.16,15.87
181,31.66,494.49,21.8,17.2
182,31.37,422.28,16.55,18.93
183,31.0,420.94,16.51,15.92
184,31.44,433.58,16.51,15.2
185,30.22,491.19,19.77,17.03
186,31.73,405.69,23.71,19.77
187,31.68,400.19,21.92,17.86
188,31.18,477.87,20.63,18.54
189,30.99,430.3,22.91,16.36
190,31.47,464.39,20.73,19.33
191,31.33,488.35,17.71,15.99
192,31.0,498.66,18.79,15.04
193,30.67,434.27,16.48,16.83
194,30.93,415.76,23.66,15.08
195,31.54,461.24,16.65,17.52
196,30.71,433.8,17.83,16.58
197,31.47,432.88,16.34,16.14
198,30.1,466.99,18.43,15.4
199,31.58,448.82,23.86,18.28
200,31.44,463.98,17.39,15.96
201,31.26,436.16,20.26,19.1
202,30.04,477.94,16.93,17.09
203,30.68,489.62,23.41,15.28
204,31.58,491.51,19.22,18.77
205,31.84,410.65,18.24,19.74
206,31.6,478.93,17.62,18.59
207,30.7,433.59,24.93,19.54
208,30.1,410.62,19.47,17.4
209,30.12,452.12,18.34,18.62
210,31.53,464.94,18.93,15.82
211,31.41,464.64,21.81,17.67
212,30.87,466.61,18.55,16.03
213,31.7,435.35,23.66,16.15
214,30.17,459.71,17.92,15.52
215,30.52,430.39,21.21,18.4
216,30.62,487.32,20.95,15.29
217,30.92,401.26,22.44,17.73
218,30.04,488.49,20.6,18.42
219,30.21,449.68,23.27,17.12
220,30.18,463.09,16.81,19.48
221,31.51,458.04,18.51,18.71
222,31.48,431.69,20.78,15.11
223,31.04,476.47,23.15,17.06
224,31.16,413.75,19.97,18.74
225,30.61,407.63,20.23,15.54
226,31.93,462.57,18.53,18.7
227,31.01,400.66,24.04,18.73
228,31.71,493.93,20.32,17.89
229,31.2,421.6,17.1,17.93
230,30.04,421.83,16.9,15.12
231,30.4,401.08,16.42,17.87
232,30.39,473.25,24.02,15.17
233,31.08,480.78,24.15,18.97
234,31.84,468.07,18.21,18.79
235,30.08,478.82,21.29,19.17
236,30.27,474.61,20.62,19.79
237,31.88,442.26,17.5,19.44
238,31.51,432.55,19.48,19.36
239,30.54,457.32,16.95,15.67
240,30.74,455.36,23.4,19.83
241,31.17,438.79,24.57,18.25
242,31.67,492.12,18.37,18.81
243,31.87,473.87,22.0,16.5
244,30.92,448.2,18.55,18.2
245,30.41,407.47,19.58,16.26
246,30.45,496.93,20.84,17.27
247,31.18,428.91,22.18,16.13
248,30.52,451.7,19.74,17.56
249,30.82,499.78,22.99,17.96
250,31.93,409.09,17.08,15.68
251,31.98,492.33,19.56,17.26
252,30.23,484.87,22.19,16.27
253,31.55,418.54,20.05,17.42
254,31.8,479.02,21.11,17.47
255,31.39,432.79,17.2,18.66
256,30.04,487.28,16.74,19.7
257,30.73,451.35,23.11,18.32
258,30.83,402.84,18.78,19.48
259,31.97,469.42,20.78,16.18
260,31.45,440.72,21.86,19.06
261,31.21,447.38,17.04,18.59
262,31.42,414.46,16.24,15.5
263,31.72,426.93,18.88,17.65
264,31.55,428.79,17.31,17.47
265,30.58,469.76,20.49,15.13
266,31.92,418.64,23.48,15.35
267,30.33,474.82,23.13,18.63
268,31.77,458.8,19.51,17.7
269,31.6,454.9,20.8,18.99
270,31.38,491.7,24.45,17.8
271,30.92,482.72,24.94,18.13
272,30.23,420.74,21.27,16.23
273,30.0,412.23,17.52,16.47
274,31.79,475.74,16.48,18.14
275,31.78,469.58,20.25,17.62
276,31.13,462.93,23.17,18.87
277,31.3,486.32,17.77,16.63
278,31.1,498.34,18.05,19.57
279,30.72,476.71,23.24,18.67
280,31.43,452.08,24.17,15.5
281,31.74,466.6,18.38,16.97
282,30.01,425.41,24.59,19.55
283,30.97,443.14,16.21,18.92
284,30.88,419.66,19.24,15.61
285,30.89,452.28,22.93,19.63
286,31.73,455.01,23.52,19.52
287,31.65,484.29,23.57,18.3
288,30.42,486.18,18.25,18.21
289,30.78,494.27,20.15,18.08
290,30.53,406.09,22.14,16.37
291,31.14,496.06,20.01,19.72
292,30.15,498.36,24.15,18.0
293,30.51,404.78,19.13,17.68
294,31.71,462.86,20.38,17.64
295,31.32,406.61,22.63,17.8
296,30.37,406.87,16.57,16.72
297,31.25,492.84,17.67,15.38
298,30.87,435.91,24.29,16.53
299,30.01,433.8,23.72,19.48
300,30.44,453.38,18.16,18.25
301,31.71,400.97,16.09,17.43
302,30.59,424.94,17.06,15.9
303,31.22,416.66,22.58,17.35
304,31.11,475.64,17.43,18.47
305,30.26,426.85,18.96,17.99
306,30.59,404.37,20.5,17.0
307,31.57,475.83,24.7,16.25
308,30.42,488.26,18.26,19.88
309,31.06,485.83,22.09,15.66
310,31.26,467.79,23.08,17.98
311,31.53,443.22,23.59,17.25
312,31.74,463.63,22.9,17.46
313,30.9,445.41,21.71,19.52
314,31.59,482.3,24.15,17.42
315,30.09,436.54,19.79,15.7
316,30.72,451.78,19.11,19.38
317,31.99,400.88,19.03,19.62
318,30.8,462.74,18.2,17.42
319,31.05,479.9,20.16,15.02
320,31.58,421.73,19.87,16.78
321,30.44,402.44,23.34,16.13
322,31.41,496.98,23.57,15.24
323,31.06,450.97,19.13,18.86
324,30.99,400.18,20.74,17.17
325,30.23,462.27,21.27,18.51
326,30.99,440.36,18.63,15.96
327,30.04,434.72,24.82,15.01
328,30.06,417.43,17.46,19.36
329,30.22,442.16,17.38,15.62
330,30.53,431.24,20.88,17.61
331,30.4,413.97,22.84,19.76
332,31.56,404.69,19.56,16.23
333,31.79,489.12,21.97,18.58
334,31.75,427.51,23.9,15.09
335,31.06,476.94,21.25,18.92
336,31.63,444.52,18.52,18.34
337,30.58,497.33,17.19,19.59
338,31.74,427.31,20.62,17.65
339,31.82,433.23,17.31,15.17
340,30.5,446.93,18.97,17.31
341,30.11,439.87,20.02,15.8
342,31.49,429.59,23.61,17.61
343,31.99,401.99,23.02,18.1
344,31.87,468.58,19.95,18.32
345,31.3,474.59,22.58,17.89
346,31.43,430.21,19.87,17.74
347,30.82,415.71,22.94,18.33
348,30.13,479.72,20.49,16.95
349,31.01,438.47,16.53,19.89
350,31.54,496.18,16.39,18.23
351,31.96,435.56,17.4,19.88
352,31.64,439.68,17.47,17.83
353,30.04,428.4,23.63,18.18
354,30.06,470.85,22.96,17.99
355,31.59,485.61,23.12,16.17
356,31.62,451.58,21.11,15.71
357,31.82,429.26,17.51,17.9
358,31.74,400.94,24.28,15.01
359,30.58,404.75,20.77,17.94
360,31.03,489.76,21.15,15.5
361,31.75,408.42,24.6,16.26
362,31.22,411.32,22.04,15.33
363,31.25,472.28,21.08,18.65
364,30.46,461.55,20.71,16.58
